year,age,band,sex,mass,date,jday,nest,day,wet_dry,warm_cold
2014,N,1783-64577,,63.7,NA,0,A41_2014,18,Dry,Warm
2020,N,1833-32672,,56.3,NA,0,A43_2020,18,Dry,Cold
2007,N,64538,M,53.5,NA,0,A8_2007,18,Wet,Warm
2007,N,64539,F,56.5,NA,0,A8_2007,18,Wet,Warm
2007,N,64540,F,54,NA,0,A8_2007,18,Wet,Warm
2004,N,64406,M,61,NA,0,A8_2004,18,Dry,Cold
2004,N,64407,F,60,NA,0,A8_2004,18,Dry,Cold
2013,N,1833-64417,,52.2,NA,0,A8_2013,18,Dry,Cold
2013,N,1833-64418,,55.6,NA,0,A8_2013,18,Dry,Cold
2014,N,1783-64495,,52.6,NA,0,A8_2014,18,Dry,Warm
2014,N,1783-64494,,52.9,NA,0,A8_2014,18,Dry,Warm
2019,N,1833-32619,,61.6,NA,0,A8_2019,18,Dry,Cold
2011,N,64832,F,64.5,NA,0,B10_2011,18,Wet,Warm
2011,N,64833,F,62.5,NA,0,B10_2011,18,Wet,Warm
2013,N,1783-64400,,52.4,NA,0,B12_2013,18,Dry,Cold
2016,N,1783-74352,,55,NA,0,B12_2016,18,Dry,Cold
2016,N,1783-74337,,55.5,NA,0,B13_2016,18,Dry,Cold
2015,N,1833-03174,,56.6,NA,0,B14_2015,18,Wet,Warm
2015,N,1833-03175,,57,NA,0,B14_2015,18,Wet,Warm
2011,N,64847,F,65.8,NA,0,B18_2011,18,Wet,Warm
2011,N,64849,M,39.7,NA,0,B18_2011,18,Wet,Warm
2013,N,1783-64405,,49.6,NA,0,B18_2013,18,Dry,Cold
2009,N,64703,F,38.2,NA,0,B2_2009,18,Dry,Cold
2009,N,64704,F,47.9,NA,0,B2_2009,18,Dry,Cold
2009,N,64705,F,31.8,NA,0,B2_2009,18,Dry,Cold
2019,N,1833-32648,,58.3,NA,0,B5_2019,18,Dry,Cold
2009,N,64687,M,55.4,NA,0,B6_2009,18,Dry,Cold
2018,N,1833-32543,,55.3,NA,0,B8_2018,18,Wet,Warm
2008,N,64629,F,53.5,NA,0,A10_2008,19,Dry,Cold
2008,N,64630,F,54.5,NA,0,A10_2008,19,Dry,Cold
2008,N,64644,F,51.5,NA,0,A10_2008,19,Dry,Cold
2010,N,64756,M,52.6,NA,0,A10_2010,19,Dry,Cold
2010,N,64798,F,45.8,NA,0,A10_2010,19,Dry,Cold
2011,N,red,,50,NA,0,A10_2011,19,Wet,Warm
2011,N,64885,F,61,NA,0,A10_2011,19,Wet,Warm
2012,N,1783-64303,,56.9,NA,0,A10_2012,19,Wet,Warm
2012,N,1593-64860,,57.2,NA,0,A10_2012,19,Wet,Warm
2005,N,64421,F,54,NA,0,A11_2005,19,Wet,Warm
2005,N,64423,M,59,NA,0,A11_2005,19,Wet,Warm
2005,N,64424,F,63.5,NA,0,A11_2005,19,Wet,Warm
2005,N,64463,F,59,NA,0,A13_2005,19,Wet,Warm
2005,N,64464,M,57,NA,0,A13_2005,19,Wet,Warm
2005,N,64465,M,62,NA,0,A13_2005,19,Wet,Warm
2004,N,92370,,57.5,NA,0,A13_2004,19,Dry,Cold
2014,N,1783-64559,,54.2,NA,0,A15_2014,19,Dry,Warm
2014,N,1783-64560,,56.4,NA,0,A15_2014,19,Dry,Warm
2017,N,1833-03568 ,,51.5,NA,0,A15_2017,19,Dry,Warm
2004,N,92365,F,50.5,NA,0,A18_2004,19,Dry,Cold
2004,N,92366,M,63,NA,0,A18_2004,19,Dry,Cold
2010,N,64779,F,48.4,NA,0,A18_2010,19,Dry,Cold
2010,N,64778,,56.4,NA,0,A18_2010,19,Dry,Cold
2010,N,64780,F,61.9,NA,0,A18_2010,19,Dry,Cold
2011,N,red,,54.3,NA,0,A18_2011,19,Wet,Warm
2011,N,64852,F,56.7,NA,0,A18_2011,19,Wet,Warm
2011,N,64883,F,55,NA,0,A18_2011,19,Wet,Warm
2013,N,1783-64426,,56.8,NA,0,A18_2013,19,Dry,Cold
2013,N,1783-64425,,57.8,NA,0,A18_2013,19,Dry,Cold
2013,N,1783-64424,,54.5,NA,0,A18_2013,19,Dry,Cold
2008,N,64637,F,58,NA,0,A2_2008,19,Dry,Cold
2008,N,64638,M,54,NA,0,A2_2008,19,Dry,Cold
2009,N,64693,F,45.7,NA,0,A2_2009,19,Dry,Cold
2009,N,64714,F,49.3,NA,0,A2_2009,19,Dry,Cold
2009,N,64715,F,53,NA,0,A2_2009,19,Dry,Cold
2015,N,1833-03292,,45.3,NA,0,A2_2015,19,Wet,Warm
2015,N,1833-03290,,55.5,NA,0,A2_2015,19,Wet,Warm
2015,N,1833-03291,,49.5,NA,0,A2_2015,19,Wet,Warm
2006,N,64504,M,30,NA,0,A20_2006,19,Dry,Cold
2006,N,64505,M,29,NA,0,A20_2006,19,Dry,Cold
2014,N,1783-64490,,63.4,NA,0,A20_2014,19,Dry,Warm
2016,N,1783-74368,,61.5,NA,0,A24_2016,19,Dry,Cold
2016,N,1783-74369,,63.5,NA,0,A24_2016,19,Dry,Cold
2014,N,1783-64486,,59.4,NA,0,A27_2014,19,Dry,Warm
2013,N,1783-64423,,63.1,NA,0,A29_2013,19,Dry,Cold
2013,N,1783-64422,,61.8,NA,0,A29_2013,19,Dry,Cold
2014,N,1783-64548,,58.6,NA,0,A29_2014,19,Dry,Warm
2014,N,1783-64547,,54.3,NA,0,A29_2014,19,Dry,Warm
2016,N,1783-74318,,55.2,NA,0,A29_2016,19,Dry,Cold
2016,N,1783-74317,,62.6,NA,0,A29_2016,19,Dry,Cold
2016,N,1783-74344,,36.2,NA,0,A29_2016,19,Dry,Cold
2010,N,64815,F,47.2,NA,0,A4_2010,19,Dry,Cold
2012,N,1783-64340,,50.1,NA,0,A4_2012,19,Wet,Warm
2012,N,1783-64339,,46.5,NA,0,A4_2012,19,Wet,Warm
2013,N,1783-64356,,64.2,NA,0,A4_2013,19,Dry,Cold
2016,N,1783-74309,,67.4,NA,0,A4_2016,19,Dry,Cold
2018,N,1833-32526,,51.5,NA,0,A40_2018,19,Wet,Warm
2005,N,64454,F,62,NA,0,A41_2005,19,Wet,Warm
2005,N,64455,M,49,NA,0,A41_2005,19,Wet,Warm
2004,N,92390,,57,NA,0,A41_2004,19,Dry,Cold
2004,N,92391,,58,NA,0,A41_2004,19,Dry,Cold
2017,N,1833-03559,,59.6,NA,0,A43_2017,19,Dry,Warm
2020,N,1833-32671,,53.6,NA,0,A43_2020,19,Dry,Cold
2015,N,1833-03267,,53.5,NA,0,A44_2015,19,Wet,Warm
2019,N,1833-32613,,39.5,NA,0,A7_2019,19,Dry,Cold
2007,N,64538,M,56,NA,0,A8_2007,19,Wet,Warm
2007,N,64539,F,57,NA,0,A8_2007,19,Wet,Warm
2007,N,64540,F,56,NA,0,A8_2007,19,Wet,Warm
2004,N,64406,M,61.5,NA,0,A8_2004,19,Dry,Cold
2004,N,64407,F,61.5,NA,0,A8_2004,19,Dry,Cold
2011,N,64803,M,38.7,NA,0,A8_2011,19,Wet,Warm
2011,N,64808,M,48.3,NA,0,A8_2011,19,Wet,Warm
2013,N,1833-64417,,55.4,NA,0,A8_2013,19,Dry,Cold
2013,N,1833-64418,,59.9,NA,0,A8_2013,19,Dry,Cold
2018,N,1833-32518,,58.8,NA,0,A8_2018,19,Wet,Warm
2017,N,1833-03590,,53,NA,0,B10_2017,19,Dry,Warm
2007,N,64544,F,49.5,NA,0,B11_2007,19,Wet,Warm
2016,N,1783-74338,,57.7,NA,0,B13_2016,19,Dry,Cold
2019,N,1833-32628,,63.9,NA,0,B13_2019,19,Dry,Cold
2005,N,64471,M,56,NA,0,B17_2005,19,Wet,Warm
2014,N,1783-64589,,39.6,NA,0,B18_2014,19,Dry,Warm
2012,N,1783-64333,,40.4,NA,0,B2_2012,19,Wet,Warm
2016,N,1783-74345,,56.1,NA,0,B21_2016,19,Dry,Cold
2006,N,64495,M,41.5,NA,0,B4_2006,19,Dry,Cold
2006,N,64497,F,44,NA,0,B4_2006,19,Dry,Cold
2011,N,64814,F,46.5,NA,0,B4_2011,19,Wet,Warm
2012,N,1783-64315,,62.2,NA,0,B4_2012,19,Wet,Warm
2012,N,1783-64314,,58.5,NA,0,B4_2012,19,Wet,Warm
2015,N,1833-03277,,62.6,NA,0,B5_2015,19,Wet,Warm
2019,N,1833-32646,,59.2,NA,0,B5_2019,19,Dry,Cold
2018,N,1833-32543,,55.5,NA,0,B8_2018,19,Wet,Warm
2011,N,red,,51.4,NA,0,A10_2011,20,Wet,Warm
2011,N,64885,F,62.3,NA,0,A10_2011,20,Wet,Warm
2012,N,1593-64880,,56.9,NA,0,A10_2012,20,Wet,Warm
2012,N,1783-64303,,56.5,NA,0,A10_2012,20,Wet,Warm
2012,N,1593-64860,,58.4,NA,0,A10_2012,20,Wet,Warm
2013,F,1783-64420,,56,NA,0,A10_2013,20,Dry,Cold
2005,N,64421,F,56,NA,0,A11_2005,20,Wet,Warm
2005,N,64423,M,60,NA,0,A11_2005,20,Wet,Warm
2005,N,64424,F,67.5,NA,0,A11_2005,20,Wet,Warm
2009,N,64651,,40.7,NA,0,A12_2009,20,Dry,Cold
2005,N,64463,F,58.5,NA,0,A13_2005,20,Wet,Warm
2005,N,64464,M,60,NA,0,A13_2005,20,Wet,Warm
2005,N,64465,M,59.5,NA,0,A13_2005,20,Wet,Warm
2004,N,92369,F,63.5,NA,0,A13_2004,20,Dry,Cold
2014,N,1783-64480,,52.5,NA,0,A13_2014,20,Dry,Warm
2014,N,1783-64559,,54.9,NA,0,A15_2014,20,Dry,Warm
2014,N,1783-64560,,59.2,NA,0,A15_2014,20,Dry,Warm
2004,N,92366,M,60.5,NA,0,A18_2004,20,Dry,Cold
2010,N,64779,F,51.4,NA,0,A18_2010,20,Dry,Cold
2010,N,64778,,58.6,NA,0,A18_2010,20,Dry,Cold
2010,N,64780,F,63.9,NA,0,A18_2010,20,Dry,Cold
2011,N,red,,55.6,NA,0,A18_2011,20,Wet,Warm
2011,N,64852,F,59.4,NA,0,A18_2011,20,Wet,Warm
2011,N,64883,F,56.8,NA,0,A18_2011,20,Wet,Warm
2013,N,1783-64426,,59.4,NA,0,A18_2013,20,Dry,Cold
2013,N,1783-64425,,60.6,NA,0,A18_2013,20,Dry,Cold
2008,N,64637,F,60,NA,0,A2_2008,20,Dry,Cold
2008,N,64638,M,58,NA,0,A2_2008,20,Dry,Cold
2008,N,64639,M,52,NA,0,A2_2008,20,Dry,Cold
2009,N,64693,F,45.1,NA,0,A2_2009,20,Dry,Cold
2009,N,64714,F,50.2,NA,0,A2_2009,20,Dry,Cold
2009,N,64715,F,53.2,NA,0,A2_2009,20,Dry,Cold
2015,N,1833-03292,,46.1,NA,0,A2_2015,20,Wet,Warm
2015,N,1833-03290,,55.6,NA,0,A2_2015,20,Wet,Warm
2015,N,1833-03291,,50.9,NA,0,A2_2015,20,Wet,Warm
2017,N,1833-03561,,50.2,NA,0,A2_2017,20,Dry,Warm
2015,N,1833-03166 ,,48.4,NA,0,A20_2015,20,Wet,Warm
2015,N,1833-03173 ,,50.5,NA,0,A20_2015,20,Wet,Warm
2017,N,1833-03340 ,,60.4,NA,0,A20_2017,20,Dry,Warm
2017,N,1833-03587,,50.3,NA,0,A20_2017,20,Dry,Warm
2013,N,1783-64423,,62.4,NA,0,A29_2013,20,Dry,Cold
2013,N,1783-64422,,62.5,NA,0,A29_2013,20,Dry,Cold
2014,N,1783-64548,,60.8,NA,0,A29_2014,20,Dry,Warm
2014,N,1783-64547,,55,NA,0,A29_2014,20,Dry,Warm
2016,N,1783-74318,,56.8,NA,0,A29_2016,20,Dry,Cold
2016,N,1783-74344,,41.9,NA,0,A29_2016,20,Dry,Cold
2007,N,64569,M,45.5,NA,0,A4_2007,20,Wet,Warm
2007,N,64570,M,41,NA,0,A4_2007,20,Wet,Warm
2004,N,92387,F,66,NA,0,A4_2004,20,Dry,Cold
2010,N,64815,F,50.4,NA,0,A4_2010,20,Dry,Cold
2012,N,1783-64340,,53.4,NA,0,A4_2012,20,Wet,Warm
2012,N,1783-64339,,44.5,NA,0,A4_2012,20,Wet,Warm
2016,N,1783-74308,,68,NA,0,A4_2016,20,Dry,Cold
2016,N,1783-74309,,66.2,NA,0,A4_2016,20,Dry,Cold
2020,N,1833-32639,,61.9,NA,0,A4_2020,20,Dry,Cold
2020,N,1833-32615,,57.1,NA,0,A4_2020,20,Dry,Cold
2009,N,64706,,56,NA,0,A40_2009,20,Dry,Cold
2005,N,64454,F,62.5,NA,0,A41_2005,20,Wet,Warm
2005,N,64455,M,49,NA,0,A41_2005,20,Wet,Warm
2005,F,64455,M,49,NA,0,A41_2005,20,Wet,Warm
2017,N,1833-03558,,56.9,NA,0,A43_2017,20,Dry,Warm
2015,N,1833-03266,,53.6,NA,0,A44_2015,20,Wet,Warm
2010,N,64754,F,64.5,NA,0,A7_2010,20,Dry,Cold
2010,N,64781,M,62,NA,0,A7_2010,20,Dry,Cold
2019,N,1833-32611,,52.8,NA,0,A7_2019,20,Dry,Cold
2019,N,1833-32587,,48.3,NA,0,A7_2019,20,Dry,Cold
2007,N,64538,M,54.5,NA,0,A8_2007,20,Wet,Warm
2007,N,64539,F,55,NA,0,A8_2007,20,Wet,Warm
2007,N,64540,F,53,NA,0,A8_2007,20,Wet,Warm
2004,N,64406,M,60,NA,0,A8_2004,20,Dry,Cold
2004,N,64407,F,60,NA,0,A8_2004,20,Dry,Cold
2013,N,1833-64417,,55.4,NA,0,A8_2013,20,Dry,Cold
2013,N,1833-64418,,59.7,NA,0,A8_2013,20,Dry,Cold
2019,N,1833-32620,,64.9,NA,0,A8_2019,20,Dry,Cold
2014,N,1783-64553,,54.4,NA,0,B12_2014,20,Dry,Warm
2016,N,1783-74351,,53.6,NA,0,B12_2016,20,Dry,Cold
2007,N,64591,M,63,NA,0,B13_2007,20,Wet,Warm
2007,N,64592,F,63.5,NA,0,B13_2007,20,Wet,Warm
2004,N,92380,,65.5,NA,0,B13_2004,20,Dry,Cold
2019,N,1833-32629,,65.2,NA,0,B13_2019,20,Dry,Cold
2013,N,1783-64379,,55.3,NA,0,B14_2013,20,Dry,Cold
2017,N,1833-03569,,58.5,NA,0,B17_2017,20,Dry,Warm
2014,N,1783-64588,,49.3,NA,0,B18_2014,20,Dry,Warm
2012,N,1783-64336,,46.7,NA,0,B2_2012,20,Wet,Warm
2016,N,1783-74346,,54,NA,0,B21_2016,20,Dry,Cold
2010,N,64784,F,47.8,NA,0,B4_2010,20,Dry,Cold
2011,N,64812,M,59,NA,0,B4_2011,20,Wet,Warm
2007,N,64584,,51.5,NA,0,B5_2007,20,Wet,Warm
2015,N,1833-03276,,66.4,NA,0,B5_2015,20,Wet,Warm
2006,N,64523,F,53.5,NA,0,B6_2006,20,Dry,Cold
2006,N,64524,M,53,NA,0,B6_2006,20,Dry,Cold
2007,N,64547,F,43.5,NA,0,B7_2007,20,Wet,Warm
2007,N,64548,M,39.5,NA,0,B7_2007,20,Wet,Warm
2018,N,1833-32543,,58.7,NA,0,B8_2018,20,Wet,Warm
2011,N,red,,52,NA,0,A10_2011,21,Wet,Warm
2011,N,64885,F,65.4,NA,0,A10_2011,21,Wet,Warm
2012,N,1593-64880,,57.2,NA,0,A10_2012,21,Wet,Warm
2012,N,1783-64303,,57.5,NA,0,A10_2012,21,Wet,Warm
2012,N,1593-64860,,58,NA,0,A10_2012,21,Wet,Warm
2015,F,1833-03152,,58,NA,0,A10_2015,21,Wet,Warm
2005,N,64421,F,56.5,NA,0,A11_2005,21,Wet,Warm
2005,N,64423,M,63.5,NA,0,A11_2005,21,Wet,Warm
2005,N,64424,F,68,NA,0,A11_2005,21,Wet,Warm
2005,N,64464,M,55,NA,0,A13_2005,21,Wet,Warm
2005,N,64465,M,58.5,NA,0,A13_2005,21,Wet,Warm
2004,N,92370,,56.5,NA,0,A13_2004,21,Dry,Cold
2014,N,1783-64478,,58.3,NA,0,A13_2014,21,Dry,Warm
2014,N,1783-64479,,57.5,NA,0,A13_2014,21,Dry,Warm
2014,N,1783-64559,,57.5,NA,0,A15_2014,21,Dry,Warm
2014,N,1783-64560,,56.9,NA,0,A15_2014,21,Dry,Warm
2010,N,64779,F,51,NA,0,A18_2010,21,Dry,Cold
2010,N,64778,,60,NA,0,A18_2010,21,Dry,Cold
2010,N,64780,F,65.1,NA,0,A18_2010,21,Dry,Cold
2011,N,64852,F,60,NA,0,A18_2011,21,Wet,Warm
2011,N,64883,F,56.5,NA,0,A18_2011,21,Wet,Warm
2013,N,1783-64425,,59.2,NA,0,A18_2013,21,Dry,Cold
2013,N,1783-64424,,51.2,NA,0,A18_2013,21,Dry,Cold
2008,N,64637,F,60,NA,0,A2_2008,21,Dry,Cold
2008,N,64638,M,58,NA,0,A2_2008,21,Dry,Cold
2008,N,64639,M,49,NA,0,A2_2008,21,Dry,Cold
2009,N,64693,F,49.1,NA,0,A2_2009,21,Dry,Cold
2009,N,64714,F,52,NA,0,A2_2009,21,Dry,Cold
2009,N,64715,F,53.9,NA,0,A2_2009,21,Dry,Cold
2015,N,1833-03292,,50.7,NA,0,A2_2015,21,Wet,Warm
2015,N,1833-03290,,57.9,NA,0,A2_2015,21,Wet,Warm
2015,N,1833-03291,,54,NA,0,A2_2015,21,Wet,Warm
2018,N,1833-32565,,64.5,NA,0,A20_2018,21,Wet,Warm
2018,N,1833-32566,,66.2,NA,0,A20_2018,21,Wet,Warm
2014,N,1783-64484,,61.8,NA,0,A27_2014,21,Dry,Warm
2013,N,1783-64423,,60.4,NA,0,A29_2013,21,Dry,Cold
2013,N,1783-64422,,60.9,NA,0,A29_2013,21,Dry,Cold
2014,N,1783-64547,,59.8,NA,0,A29_2014,21,Dry,Warm
2016,N,1783-74317,,61.8,NA,0,A29_2016,21,Dry,Cold
2016,N,1783-74344,,41.6,NA,0,A29_2016,21,Dry,Cold
2007,N,64569,M,45.5,NA,0,A4_2007,21,Wet,Warm
2009,N,64712,M,41.5,NA,0,A4_2009,21,Dry,Cold
2012,N,1783-64340,,54.5,NA,0,A4_2012,21,Wet,Warm
2012,N,1783-64339,,51.4,NA,0,A4_2012,21,Wet,Warm
2013,N,1783-64358,,65.2,NA,0,A4_2013,21,Dry,Cold
2016,N,1783-74308,,64.9,NA,0,A4_2016,21,Dry,Cold
2019,N,1833-32602,,54.4,NA,0,A40_2019,21,Dry,Cold
2005,N,64454,F,64,NA,0,A41_2005,21,Wet,Warm
2006,N,64509,M,36.5,NA,0,A41_2006,21,Dry,Cold
2006,N,64510,M,48.5,NA,0,A41_2006,21,Dry,Cold
2016,N,1833-03397,,54,NA,0,A43_2016,21,Dry,Cold
2007,N,64538,M,56.5,NA,0,A8_2007,21,Wet,Warm
2007,N,64539,F,54.5,NA,0,A8_2007,21,Wet,Warm
2007,N,64540,F,54,NA,0,A8_2007,21,Wet,Warm
2004,N,64406,M,63,NA,0,A8_2004,21,Dry,Cold
2019,N,1833-32619,,66.6,NA,0,A8_2019,21,Dry,Cold
2017,N,1833-03588,,54.4,NA,0,B10_2017,21,Dry,Warm
2014,N,1783-64552,,61.8,NA,0,B12_2014,21,Dry,Warm
2005,N,64480,M,63,NA,0,B13_2005,21,Wet,Warm
2005,N,64482,M,57.5,NA,0,B13_2005,21,Wet,Warm
2013,N,1783-64380,,52.5,NA,0,B14_2013,21,Dry,Cold
2014,N,1783-64590,,52.4,NA,0,B18_2014,21,Dry,Warm
2012,N,1783-64312,,58.2,NA,0,B19_2012,21,Wet,Warm
2008,N,64618,M,60,NA,0,B4_2008,21,Dry,Cold
2008,N,64619,F,61,NA,0,B4_2008,21,Dry,Cold
2008,N,64620,M,65,NA,0,B4_2008,21,Dry,Cold
2010,N,64782,M,51.8,NA,0,B4_2010,21,Dry,Cold
2010,N,64783,M,53.2,NA,0,B4_2010,21,Dry,Cold
2011,N,64813,F,63,NA,0,B4_2011,21,Wet,Warm
2007,N,64585,M,55,NA,0,B5_2007,21,Wet,Warm
2018,N,1833-32543,,62.3,NA,0,B8_2018,21,Wet,Warm
2011,N,64885,F,63.5,NA,0,A10_2011,22,Wet,Warm
2012,N,1593-64880,,56.2,NA,0,A10_2012,22,Wet,Warm
2012,N,1593-64860,,62.2,NA,0,A10_2012,22,Wet,Warm
2014,F,1783-64583,,55.5,NA,0,A10_2014,22,Dry,Warm
2015,F,1833-03152,,52.5,NA,0,A10_2015,22,Wet,Warm
2005,N,64423,M,62.5,NA,0,A11_2005,22,Wet,Warm
2005,N,64424,F,68,NA,0,A11_2005,22,Wet,Warm
2005,N,64464,M,54,NA,0,A13_2005,22,Wet,Warm
2005,N,64465,M,56,NA,0,A13_2005,22,Wet,Warm
2004,N,92369,F,55.5,NA,0,A13_2004,22,Dry,Cold
2012,F,1783-64310,,53.9,NA,0,A13_2012,22,Wet,Warm
2012,F,1783-64335,,56,NA,0,A13_2012,22,Wet,Warm
2012,F,1783-64334,,57.5,NA,0,A13_2012,22,Wet,Warm
2017,F,1833-03584,,49.5,NA,0,A13_2017,22,Dry,Warm
2017,F,1833-03585,,51.5,NA,0,A13_2017,22,Dry,Warm
2017,F,1833-03539,,47.5,NA,0,A13_2017,22,Dry,Warm
2004,N,92366,M,59,NA,0,A18_2004,22,Dry,Cold
2010,N,64779,F,50.4,NA,0,A18_2010,22,Dry,Cold
2010,N,64778,,59.5,NA,0,A18_2010,22,Dry,Cold
2010,N,64780,F,66.5,NA,0,A18_2010,22,Dry,Cold
2011,N,64852,F,60.7,NA,0,A18_2011,22,Wet,Warm
2011,N,64883,F,56.4,NA,0,A18_2011,22,Wet,Warm
2013,N,1783-64426,,56.4,NA,0,A18_2013,22,Dry,Cold
2013,N,1783-64424,,52.6,NA,0,A18_2013,22,Dry,Cold
2015,F,1833-03198,,62.5,NA,0,A18_2015,22,Wet,Warm
2015,F,1833-03199,,56.5,NA,0,A18_2015,22,Wet,Warm
2016,F,1783-74361,,52.5,NA,0,A18_2016,22,Dry,Cold
2016,F,1783-74387,,55,NA,0,A18_2016,22,Dry,Cold
2008,N,64637,F,60,NA,0,A2_2008,22,Dry,Cold
2008,N,64638,M,60,NA,0,A2_2008,22,Dry,Cold
2008,N,64639,M,53,NA,0,A2_2008,22,Dry,Cold
2009,N,64693,F,35,NA,0,A2_2009,22,Dry,Cold
2009,N,64714,F,43,NA,0,A2_2009,22,Dry,Cold
2009,N,64715,F,52.6,NA,0,A2_2009,22,Dry,Cold
2010,N,64766,M,46,NA,0,A2_2010,22,Dry,Cold
2015,N,1833-03292,,49.4,NA,0,A2_2015,22,Wet,Warm
2015,N,1833-03290,,58.8,NA,0,A2_2015,22,Wet,Warm
2015,N,1833-03291,,54.7,NA,0,A2_2015,22,Wet,Warm
2017,F,1833-03561,,49.2,NA,0,A2_2017,22,Dry,Warm
2017,F,1833-03557,,61,NA,0,A27_2017,22,Dry,Warm
2013,N,1783-64423,,62.9,NA,0,A29_2013,22,Dry,Cold
2013,N,1783-64422,,58.9,NA,0,A29_2013,22,Dry,Cold
2016,N,1783-74318,,54.9,NA,0,A29_2016,22,Dry,Cold
2016,N,1783-74317,,64.2,NA,0,A29_2016,22,Dry,Cold
2007,N,64569,M,45.5,NA,0,A4_2007,22,Wet,Warm
2009,N,64713,F,44.5,NA,0,A4_2009,22,Dry,Cold
2010,N,64815,F,51.6,NA,0,A4_2010,22,Dry,Cold
2012,N,1783-64340,,49.6,NA,0,A4_2012,22,Wet,Warm
2012,N,1783-64339,,48,NA,0,A4_2012,22,Wet,Warm
2016,N,1783-74308,,63,NA,0,A4_2016,22,Dry,Cold
2016,N,1783-74309,,57.5,NA,0,A4_2016,22,Dry,Cold
2019,N,1833-32613,,54.1,NA,0,A7_2019,22,Dry,Cold
2007,N,64539,F,54.5,NA,0,A8_2007,22,Wet,Warm
2007,N,64540,F,53.5,NA,0,A8_2007,22,Wet,Warm
2004,N,64406,M,58,NA,0,A8_2004,22,Dry,Cold
2013,N,1833-64417,,54.2,NA,0,A8_2013,22,Dry,Cold
2013,N,1833-64418,,57,NA,0,A8_2013,22,Dry,Cold
2013,F,1833-64417,,54.2,NA,0,A8_2013,22,Dry,Cold
2019,N,1833-32620,,65.6,NA,0,A8_2019,22,Dry,Cold
2013,F,1783-64463,,60,NA,0,B1_2013,22,Dry,Cold
2013,F,1783-64448,,52,NA,0,B1_2013,22,Dry,Cold
2017,N,1833-03589,,54.9,NA,0,B10_2017,22,Dry,Warm
2015,N,1833-03181,,61.1,NA,0,B11_2015,22,Wet,Warm
2004,N,92379,,64.5,NA,0,B13_2004,22,Dry,Cold
2013,F,1783-64428,,52.5,NA,0,B13_2013,22,Dry,Cold
2014,F,1783-64586,,54,NA,0,B13_2014,22,Dry,Warm
2014,F,1783-64587,,57.5,NA,0,B13_2014,22,Dry,Warm
2015,F,1833-03258,,56,NA,0,B13_2015,22,Wet,Warm
2014,F,1783-64567,,51,NA,0,B17_2014,22,Dry,Warm
2012,N,1783-64311,,60.2,NA,0,B19_2012,22,Wet,Warm
2012,N,1783-64313,,62,NA,0,B19_2012,22,Wet,Warm
2017,N,1833-03574,,55,NA,0,B2_2017,22,Dry,Warm
2017,N,1833-0354,,56.5,NA,0,B2_2017,22,Dry,Warm
2019,F,1833-32653,,63,NA,0,B2_2019,22,Dry,Cold
2019,F,1833-32614,,62.5,NA,0,B2_2019,22,Dry,Cold
2013,F,1783-64437,,54.5,NA,0,B20_2013,22,Dry,Cold
2013,F,1783-64416,,52.5,NA,0,B20_2013,22,Dry,Cold
2016,F,1783-74325,,58.5,NA,0,B20_2016,22,Dry,Cold
2016,F,1783-74311,,57,NA,0,B20_2016,22,Dry,Cold
2014,F,1783-64554,,49.5,NA,0,B21_2014,22,Dry,Warm
2014,F,1833-03101,,63,NA,0,B7_2014,22,Dry,Warm
2014,F,1783-64556,,51,NA,0,B8_2014,22,Dry,Warm
2011,N,64885,F,62.8,NA,0,A10_2011,23,Wet,Warm
2012,N,1593-64880,,55.5,NA,0,A10_2012,23,Wet,Warm
2014,F,1783-64481,,58.5,NA,0,A10_2014,23,Dry,Warm
2014,F,1833-03101,,56.5,NA,0,A10_2014,23,Dry,Warm
2018,F,1833-32588,,54,NA,0,A10_2018,23,Wet,Warm
2005,N,64423,M,61.5,NA,0,A11_2005,23,Wet,Warm
2005,N,64424,F,68,NA,0,A11_2005,23,Wet,Warm
2005,N,64464,M,59,NA,0,A13_2005,23,Wet,Warm
2018,F,1833-32541,,61,NA,0,A13_2018,23,Wet,Warm
2009,F,64736,M,51,NA,0,A18_2009,23,Dry,Cold
2010,N,64779,F,50.1,NA,0,A18_2010,23,Dry,Cold
2010,N,64778,,59.5,NA,0,A18_2010,23,Dry,Cold
2010,N,64780,F,65,NA,0,A18_2010,23,Dry,Cold
2011,N,64852,F,57.2,NA,0,A18_2011,23,Wet,Warm
2011,N,64883,F,55.6,NA,0,A18_2011,23,Wet,Warm
2013,N,1783-64426,,57.6,NA,0,A18_2013,23,Dry,Cold
2013,N,1783-64424,,56.3,NA,0,A18_2013,23,Dry,Cold
2008,N,64637,F,58,NA,0,A2_2008,23,Dry,Cold
2009,N,64693,F,47.6,NA,0,A2_2009,23,Dry,Cold
2009,N,64714,F,50.5,NA,0,A2_2009,23,Dry,Cold
2009,N,64715,F,42.5,NA,0,A2_2009,23,Dry,Cold
2010,N,64757,M,54.6,NA,0,A2_2010,23,Dry,Cold
2010,N,64767,M,54.1,NA,0,A2_2010,23,Dry,Cold
2015,N,1833-03292,,52.1,NA,0,A2_2015,23,Wet,Warm
2015,N,1833-03290,,58,NA,0,A2_2015,23,Wet,Warm
2015,N,1833-03291,,55.6,NA,0,A2_2015,23,Wet,Warm
2018,N,1833-32564,,47.9,NA,0,A20_2018,23,Wet,Warm
2013,N,1783-64423,,63,NA,0,A29_2013,23,Dry,Cold
